DEBUG 2024-11-09 17:05:13,584 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\charset_normalizer\constant.py first seen with mtime 1726335445.0445175
DEBUG 2024-11-09 17:05:13,584 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1726335450.3669994
DEBUG 2024-11-09 17:05:13,584 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\admindocs\__init__.py first seen with mtime 1726335447.77685
DEBUG 2024-11-09 17:05:13,585 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\forms\forms.py first seen with mtime 1726335450.562101
DEBUG 2024-11-09 17:05:13,585 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\html\parser.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,585 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\rest_framework\viewsets.py first seen with mtime 1726335464.9944727
DEBUG 2024-11-09 17:05:13,586 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\adminsortable2\admin.py first seen with mtime 1726577257.8658028
DEBUG 2024-11-09 17:05:13,586 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1726335449.577212
DEBUG 2024-11-09 17:05:13,586 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1726335450.6824453
DEBUG 2024-11-09 17:05:13,587 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\importlib\resources\readers.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,587 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\views\defaults.py first seen with mtime 1726335450.7130175
DEBUG 2024-11-09 17:05:13,587 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1726335449.5827303
DEBUG 2024-11-09 17:05:13,587 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\csv.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,587 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\db\transaction.py first seen with mtime 1726335450.4528136
DEBUG 2024-11-09 17:05:13,587 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\views\debug.py first seen with mtime 1726335450.7130175
DEBUG 2024-11-09 17:05:13,588 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\email\_header_value_parser.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,588 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1726335447.7673142
DEBUG 2024-11-09 17:05:13,589 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\drf_spectacular\generators.py first seen with mtime 1726335467.7789168
DEBUG 2024-11-09 17:05:13,589 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\email\mime\message.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,589 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\html\__init__.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,589 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\rest_framework\templatetags\rest_framework.py first seen with mtime 1726335465.1134562
DEBUG 2024-11-09 17:05:13,590 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\DLLs\_zoneinfo.pyd first seen with mtime 1712047400.0
DEBUG 2024-11-09 17:05:13,590 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\conf\urls\static.py first seen with mtime 1726335446.896565
DEBUG 2024-11-09 17:05:13,590 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\decimal.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,591 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\unittest\result.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,591 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\yaml\__init__.py first seen with mtime 1726335441.729641
DEBUG 2024-11-09 17:05:13,591 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\db\backends\postgresql\psycopg_any.py first seen with mtime 1726335450.4918907
DEBUG 2024-11-09 17:05:13,591 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\charset_normalizer\__init__.py first seen with mtime 1726335445.0426493
DEBUG 2024-11-09 17:05:13,592 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\drf_spectacular\contrib\rest_framework_dataclasses.py first seen with mtime 1726335467.7871304
DEBUG 2024-11-09 17:05:13,592 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\rest_framework\utils\mediatypes.py first seen with mtime 1726335465.1184733
DEBUG 2024-11-09 17:05:13,592 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\token.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,592 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\dataclasses.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,592 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\certifi\core.py first seen with mtime 1726335445.357536
DEBUG 2024-11-09 17:05:13,593 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\rest_framework\schemas\views.py first seen with mtime 1726335465.0426724
DEBUG 2024-11-09 17:05:13,593 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\asyncio\coroutines.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,593 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\db\models\indexes.py first seen with mtime 1726335450.5186107
DEBUG 2024-11-09 17:05:13,593 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\thread.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,594 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\DLLs\_overlapped.pyd first seen with mtime 1712047400.0
DEBUG 2024-11-09 17:05:13,594 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\adminsortable2\models.py first seen with mtime 1726577257.8658028
DEBUG 2024-11-09 17:05:13,594 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\ctypes\wintypes.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,594 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\middleware\common.py first seen with mtime 1726335450.6488454
DEBUG 2024-11-09 17:05:13,595 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\rest_framework\validators.py first seen with mtime 1726335464.993199
DEBUG 2024-11-09 17:05:13,595 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\email\base64mime.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,595 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\PIL\_typing.py first seen with mtime 1726335442.7511792
DEBUG 2024-11-09 17:05:13,595 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\core\files\utils.py first seen with mtime 1726335450.383643
DEBUG 2024-11-09 17:05:13,596 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\utils\hashable.py first seen with mtime 1726335450.6929562
DEBUG 2024-11-09 17:05:13,596 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\psycopg2\_ipaddress.py first seen with mtime 1726335442.369074
DEBUG 2024-11-09 17:05:13,596 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\utils\cache.py first seen with mtime 1726335450.6834452
DEBUG 2024-11-09 17:05:13,596 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\unittest\loader.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,596 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1726335450.7160168
DEBUG 2024-11-09 17:05:13,597 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1726335465.1184733
DEBUG 2024-11-09 17:05:13,597 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1726335449.577212
DEBUG 2024-11-09 17:05:13,599 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1726335450.3846428
DEBUG 2024-11-09 17:05:13,599 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\urls\conf.py first seen with mtime 1726335450.6779327
DEBUG 2024-11-09 17:05:13,599 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\email\mime\__init__.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,599 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\yaml\serializer.py first seen with mtime 1726335441.7386408
DEBUG 2024-11-09 17:05:13,600 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1726335450.7090068
DEBUG 2024-11-09 17:05:13,600 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\rest_framework\utils\model_meta.py first seen with mtime 1726335465.1195917
DEBUG 2024-11-09 17:05:13,601 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1726335450.5140977
DEBUG 2024-11-09 17:05:13,601 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\urllib\error.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,601 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\core\checks\registry.py first seen with mtime 1726335450.374509
DEBUG 2024-11-09 17:05:13,601 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\bz2.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,601 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\drf_spectacular\serializers.py first seen with mtime 1726335467.7821302
DEBUG 2024-11-09 17:05:13,602 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1726335450.3695073
DEBUG 2024-11-09 17:05:13,602 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\db\models\base.py first seen with mtime 1726335450.5150988
DEBUG 2024-11-09 17:05:13,602 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\postgres\fields\hstore.py first seen with mtime 1726335449.6000173
DEBUG 2024-11-09 17:05:13,602 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\xml\dom\NodeFilter.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,603 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\forms\models.py first seen with mtime 1726335450.5651019
DEBUG 2024-11-09 17:05:13,603 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\urllib3\__init__.py first seen with mtime 1726335439.9707289
DEBUG 2024-11-09 17:05:13,604 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1726335450.4603455
DEBUG 2024-11-09 17:05:13,604 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\opcode.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,604 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\unittest\suite.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,605 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\ctypes\__init__.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,605 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1726335446.918495
DEBUG 2024-11-09 17:05:13,606 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\core\management\sql.py first seen with mtime 1726335450.4112191
DEBUG 2024-11-09 17:05:13,606 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\forms\utils.py first seen with mtime 1726335450.567105
DEBUG 2024-11-09 17:05:13,606 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\utils\formats.py first seen with mtime 1726335450.6899574
DEBUG 2024-11-09 17:05:13,607 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\PIL\ImageMode.py first seen with mtime 1726335442.6630561
DEBUG 2024-11-09 17:05:13,607 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\zoneinfo\_tzpath.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,607 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\DLLs\_ctypes.pyd first seen with mtime 1712047400.0
DEBUG 2024-11-09 17:05:13,607 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\views\i18n.py first seen with mtime 1726335450.7140172
DEBUG 2024-11-09 17:05:13,607 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\xml\__init__.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,607 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1726335448.0979698
DEBUG 2024-11-09 17:05:13,608 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\rest_framework\compat.py first seen with mtime 1726335464.9818695
DEBUG 2024-11-09 17:05:13,608 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1726335448.0989685
DEBUG 2024-11-09 17:05:13,609 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\asyncio\proactor_events.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,609 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,611 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\utils\deprecation.py first seen with mtime 1726335450.6874459
DEBUG 2024-11-09 17:05:13,611 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\urls\base.py first seen with mtime 1726335450.6769323
DEBUG 2024-11-09 17:05:13,611 autoreload File C:\Users\User\Desktop\project\backend\geko\main\serializers.py first seen with mtime 1730970543.511266
DEBUG 2024-11-09 17:05:13,611 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1726335446.9225178
DEBUG 2024-11-09 17:05:13,611 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1726335448.3284855
DEBUG 2024-11-09 17:05:13,611 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1726335450.6854453
DEBUG 2024-11-09 17:05:13,613 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1726335449.5948696
DEBUG 2024-11-09 17:05:13,613 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1726335446.923514
DEBUG 2024-11-09 17:05:13,614 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\apps\config.py first seen with mtime 1726335446.5767155
DEBUG 2024-11-09 17:05:13,614 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1726335450.399694
DEBUG 2024-11-09 17:05:13,615 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\queue.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,615 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\encodings\utf_8.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,615 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\rest_framework\versioning.py first seen with mtime 1726335464.9944727
DEBUG 2024-11-09 17:05:13,616 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\drf_spectacular\apps.py first seen with mtime 1726335467.7769163
DEBUG 2024-11-09 17:05:13,616 autoreload File C:\Users\User\AppData\Local\Programs\Python\Python311\Lib\email\encoders.py first seen with mtime 1712047374.0
DEBUG 2024-11-09 17:05:13,616 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1726335450.6654167
DEBUG 2024-11-09 17:05:13,616 autoreload File C:\Users\User\Desktop\project\backend\geko\venv\Lib\site-packages\idna\package_data.py first seen with mtime 1726335444.693019
